 Htr/Hrms  H1/Hrms  H2/Hrms  H1/3/Hrms H1/10/Hrms H1/50/Hrms H1/100/Hrms H1/250/Hrms H1/1000/Hrms
  0.01000 39.81072  1.00000    1.20661    1.38306    1.55050     1.60968     1.67999      1.77352
  0.02000 22.86525  1.00000    1.20661    1.38306    1.55050     1.60968     1.67999      1.77352
  0.03000 16.53115  1.00000    1.20661    1.38306    1.55050     1.60968     1.67999      1.77352
  0.04000 13.13264  1.00000    1.20661    1.38306    1.55050     1.60968     1.67999      1.77352
  0.05000 10.98561  1.00000    1.20661    1.38306    1.55050     1.60968     1.67999      1.77352
  0.06000  9.49465  1.00000    1.20661    1.38306    1.55050     1.60968     1.67999      1.77352
  0.07000  8.39308  1.00000    1.20661    1.38306    1.55050     1.60968     1.67999      1.77352
  0.08000  7.54272  1.00000    1.20661    1.38306    1.55050     1.60968     1.67999      1.77352
  0.09000  6.86446  1.00000    1.20661    1.38306    1.55050     1.60968     1.67999      1.77352
  0.10000  6.30958  1.00000    1.20661    1.38306    1.55050     1.60968     1.67999      1.77352
  0.11000  5.84637  1.00000    1.20661    1.38306    1.55050     1.60968     1.67999      1.77352
  0.12000  5.45325  1.00000    1.20661    1.38306    1.55050     1.60968     1.67999      1.77352
  0.13000  5.11501  1.00000    1.20661    1.38306    1.55050     1.60968     1.67999      1.77352
  0.14000  4.82058  1.00000    1.20661    1.38307    1.55050     1.60968     1.67999      1.77352
  0.15000  4.56173  1.00000    1.20661    1.38307    1.55050     1.60968     1.67999      1.77352
  0.16000  4.33219  1.00000    1.20661    1.38307    1.55050     1.60968     1.67999      1.77353
  0.17000  4.12710  1.00001    1.20661    1.38307    1.55051     1.60969     1.67999      1.77353
  0.18000  3.94265  1.00001    1.20662    1.38307    1.55051     1.60969     1.68000      1.77353
  0.19000  3.77577  1.00001    1.20662    1.38308    1.55051     1.60969     1.68000      1.77354
  0.20000  3.62399  1.00001    1.20662    1.38308    1.55052     1.60970     1.68001      1.77354
  0.21000  3.48529  1.00002    1.20663    1.38309    1.55053     1.60971     1.68002      1.77355
  0.22000  3.35799  1.00002    1.20664    1.38310    1.55053     1.60971     1.68002      1.77356
  0.23000  3.24072  1.00003    1.20664    1.38310    1.55054     1.60972     1.68004      1.77357
  0.24000  3.13228  1.00004    1.20665    1.38312    1.55056     1.60974     1.68005      1.77358
  0.25000  3.03169  1.00005    1.20666    1.38313    1.55057     1.60975     1.68007      1.77360
  0.26000  2.93810  1.00006    1.20668    1.38314    1.55059     1.60977     1.68008      1.77362
  0.27000  2.85079  1.00007    1.20669    1.38316    1.55061     1.60979     1.68011      1.77365
  0.28000  2.76913  1.00009    1.20671    1.38319    1.55064     1.60982     1.68014      1.77368
  0.29000  2.69256  1.00011    1.20674    1.38321    1.55067     1.60985     1.68017      1.77371
  0.30000  2.62063  1.00013    1.20677    1.38324    1.55070     1.60989     1.68021      1.77375
  0.31000  2.55290  1.00016    1.20680    1.38328    1.55074     1.60993     1.68025      1.77380
  0.32000  2.48901  1.00019    1.20683    1.38332    1.55079     1.60998     1.68030      1.77385
  0.33000  2.42864  1.00022    1.20688    1.38337    1.55084     1.61003     1.68036      1.77391
  0.34000  2.37149  1.00026    1.20692    1.38343    1.55090     1.61010     1.68043      1.77398
  0.35000  2.31732  1.00031    1.20698    1.38349    1.55098     1.61017     1.68050      1.77406
  0.36000  2.26589  1.00036    1.20704    1.38356    1.55106     1.61026     1.68059      1.77416
  0.37000  2.21700  1.00042    1.20711    1.38364    1.55115     1.61035     1.68069      1.77426
  0.38000  2.17047  1.00049    1.20719    1.38374    1.55125     1.61046     1.68080      1.77438
  0.39000  2.12612  1.00056    1.20728    1.38384    1.55137     1.61058     1.68093      1.77451
  0.40000  2.08380  1.00065    1.20739    1.38396    1.55150     1.61072     1.68107      1.77466
  0.41000  2.04339  1.00074    1.20750    1.38409    1.55164     1.61087     1.68123      1.77483
  0.42000  2.00475  1.00084    1.20763    1.38423    1.55181     1.61104     1.68140      1.77502
  0.43000  1.96778  1.00096    1.20777    1.38439    1.55199     1.61122     1.68160      1.77522
  0.44000  1.93237  1.00109    1.20792    1.38457    1.55219     1.61143     1.68182      1.77545
  0.45000  1.89843  1.00123    1.20810    1.38477    1.55241     1.61166     1.68206      1.77571
  0.46000  1.86587  1.00139    1.20829    1.38499    1.55266     1.61192     1.68232      1.77599
  0.47000  1.83461  1.00156    1.20850    1.38523    1.55292     1.61220     1.68261      1.77629
  0.48000  1.80459  1.00175    1.20872    1.38549    1.55322     1.61250     1.68293      1.77663
  0.49000  1.77573  1.00196    1.20898    1.38578    1.55354     1.61284     1.68328      1.77700
  0.50000  1.74797  1.00219    1.20925    1.38609    1.55389     1.61320     1.68367      1.77740
  0.51000  1.72126  1.00244    1.20955    1.38643    1.55428     1.61360     1.68408      1.77784
  0.52000  1.69555  1.00271    1.20987    1.38681    1.55469     1.61403     1.68453      1.77832
  0.53000  1.67078  1.00300    1.21023    1.38721    1.55515     1.61450     1.68502      1.77884
  0.54000  1.64692  1.00331    1.21061    1.38765    1.55564     1.61501     1.68555      1.77940
  0.55000  1.62391  1.00366    1.21102    1.38812    1.55617     1.61556     1.68613      1.78000
  0.56000  1.60173  1.00402    1.21146    1.38863    1.55674     1.61615     1.68674      1.78065
  0.57000  1.58033  1.00442    1.21194    1.38917    1.55735     1.61679     1.68741      1.78136
  0.58000  1.55968  1.00484    1.21245    1.38976    1.55801     1.61747     1.68812      1.78211
  0.59000  1.53975  1.00530    1.21300    1.39039    1.55871     1.61821     1.68889      1.78292
  0.60000  1.52051  1.00579    1.21359    1.39107    1.55947     1.61899     1.68971      1.78378
  0.61000  1.50193  1.00631    1.21422    1.39179    1.56028     1.61983     1.69058      1.78470
  0.62000  1.48400  1.00686    1.21489    1.39255    1.56114     1.62072     1.69151      1.78569
  0.63000  1.46667  1.00745    1.21560    1.39337    1.56205     1.62167     1.69251      1.78674
  0.64000  1.44993  1.00808    1.21636    1.39424    1.56303     1.62268     1.69356      1.78785
  0.65000  1.43376  1.00875    1.21716    1.39516    1.56406     1.62375     1.69468      1.78903
  0.66000  1.41813  1.00945    1.21801    1.39613    1.56515     1.62489     1.69586      1.79028
  0.67000  1.40304  1.01019    1.21891    1.39716    1.56630     1.62609     1.69711      1.79160
  0.68000  1.38845  1.01098    1.21986    1.39825    1.56752     1.62735     1.69843      1.79299
  0.69000  1.37435  1.01181    1.22086    1.39940    1.56881     1.62869     1.69983      1.79446
  0.70000  1.36073  1.01268    1.22191    1.40060    1.57016     1.63009     1.70129      1.79601
  0.71000  1.34757  1.01360    1.22302    1.40187    1.57158     1.63157     1.70283      1.79763
  0.72000  1.33485  1.01456    1.22417    1.40320    1.57307     1.63311     1.70445      1.79934
  0.73000  1.32256  1.01557    1.22539    1.40459    1.57463     1.63473     1.70614      1.80113
  0.74000  1.31069  1.01662    1.22666    1.40605    1.57627     1.63643     1.70791      1.80299
  0.75000  1.29922  1.01772    1.22799    1.40757    1.57797     1.63820     1.70976      1.80495
  0.76000  1.28814  1.01887    1.22937    1.40916    1.57975     1.64005     1.71168      1.80698
  0.77000  1.27743  1.02006    1.23082    1.41081    1.58161     1.64197     1.71369      1.80910
  0.78000  1.26709  1.02131    1.23232    1.41253    1.58354     1.64398     1.71578      1.81131
  0.79000  1.25710  1.02260    1.23388    1.41432    1.58554     1.64606     1.71796      1.81360
  0.80000  1.24746  1.02394    1.23550    1.41618    1.58762     1.64822     1.72021      1.81598
  0.81000  1.23814  1.02534    1.23718    1.41810    1.58978     1.65046     1.72255      1.81845
  0.82000  1.22915  1.02677    1.23891    1.42009    1.59201     1.65278     1.72497      1.82100
  0.83000  1.22047  1.02826    1.24071    1.42215    1.59432     1.65517     1.72747      1.82364
  0.84000  1.21209  1.02980    1.24257    1.42428    1.59671     1.65765     1.73005      1.82637
  0.85000  1.20400  1.03139    1.24448    1.42648    1.59917     1.66020     1.73272      1.82919
  0.86000  1.19619  1.03302    1.24645    1.42874    1.60170     1.66283     1.73546      1.83209
  0.87000  1.18865  1.03471    1.24848    1.43106    1.60431     1.66554     1.73829      1.83507
  0.88000  1.18138  1.03644    1.25057    1.43346    1.60699     1.66833     1.74120      1.83814
  0.89000  1.17437  1.03822    1.25272    1.43592    1.60975     1.67119     1.74419      1.84129
  0.90000  1.16761  1.04004    1.25492    1.43844    1.61258     1.67413     1.74725      1.84453
  0.91000  1.16108  1.04191    1.25718    1.44103    1.61548     1.67714     1.75040      1.84785
  0.92000  1.15479  1.04383    1.25949    1.44368    1.61845     1.68023     1.75362      1.85125
  0.93000  1.14872  1.04579    1.26186    1.44639    1.62150     1.68338     1.75691      1.85473
  0.94000  1.14287  1.04780    1.26428    1.44917    1.62461     1.68661     1.76028      1.85829
  0.95000  1.13723  1.04985    1.26675    1.45200    1.62778     1.68991     1.76373      1.86192
  0.96000  1.13179  1.05194    1.26928    1.45490    1.63103     1.69328     1.76724      1.86563
  0.97000  1.12655  1.05407    1.27185    1.45785    1.63434     1.69672     1.77083      1.86942
  0.98000  1.12150  1.05625    1.27448    1.46086    1.63771     1.70022     1.77448      1.87328
  0.99000  1.11663  1.05846    1.27715    1.46392    1.64115     1.70379     1.77821      1.87721
  1.00000  1.11194  1.06072    1.27987    1.46704    1.64464     1.70742     1.78199      1.88121
  1.01000  1.10742  1.06301    1.28264    1.47022    1.64820     1.71111     1.78585      1.88527
  1.02000  1.10307  1.06535    1.28545    1.47344    1.65182     1.71486     1.78976      1.88941
  1.03000  1.09888  1.06771    1.28831    1.47671    1.65549     1.71867     1.79374      1.89361
  1.04000  1.09484  1.07012    1.29121    1.48004    1.65921     1.72254     1.79778      1.89787
  1.05000  1.09095  1.07256    1.29415    1.48341    1.66299     1.72647     1.80188      1.90220
  1.06000  1.08720  1.07503    1.29714    1.48683    1.66683     1.73045     1.80603      1.90658
  1.07000  1.08360  1.07753    1.30016    1.49030    1.67071     1.73448     1.81024      1.91102
  1.08000  1.08012  1.08007    1.30322    1.49380    1.67465     1.73856     1.81450      1.91552
  1.09000  1.07678  1.08264    1.30632    1.49736    1.67863     1.74270     1.81882      1.92008
  1.10000  1.07357  1.08523    1.30945    1.50095    1.68265     1.74688     1.82318      1.92468
  1.11000  1.07047  1.08786    1.31262    1.50458    1.68673     1.75111     1.82759      1.92934
  1.12000  1.06749  1.09052    1.31582    1.50825    1.69084     1.75538     1.83205      1.93405
  1.13000  1.06462  1.09320    1.31898    1.51196    1.69500     1.75970     1.83656      1.93881
  1.14000  1.06186  1.09591    1.32201    1.51571    1.69920     1.76406     1.84111      1.94361
  1.15000  1.05921  1.09864    1.32495    1.51949    1.70344     1.76846     1.84570      1.94846
  1.16000  1.05666  1.10140    1.32778    1.52330    1.70772     1.77290     1.85033      1.95335
  1.17000  1.05420  1.10418    1.33051    1.52715    1.71203     1.77737     1.85501      1.95828
  1.18000  1.05184  1.10698    1.33314    1.53103    1.71638     1.78189     1.85972      1.96326
  1.19000  1.04957  1.10981    1.33569    1.53494    1.72076     1.78644     1.86447      1.96827
  1.20000  1.04738  1.11266    1.33815    1.53888    1.72517     1.79102     1.86925      1.97332
  1.21000  1.04528  1.11553    1.34052    1.54284    1.72962     1.79564     1.87407      1.97840
  1.22000  1.04327  1.11841    1.34282    1.54683    1.73410     1.80028     1.87892      1.98352
  1.23000  1.04133  1.12132    1.34503    1.55085    1.73860     1.80496     1.88380      1.98868
  1.24000  1.03946  1.12424    1.34718    1.55489    1.74313     1.80966     1.88871      1.99386
  1.25000  1.03767  1.12718    1.34925    1.55896    1.74769     1.81439     1.89365      1.99907
  1.26000  1.03595  1.13014    1.35125    1.56305    1.75227     1.81915     1.89861      2.00432
  1.27000  1.03430  1.13311    1.35319    1.56716    1.75688     1.82394     1.90360      2.00959
  1.28000  1.03271  1.13609    1.35506    1.57129    1.76151     1.82874     1.90862      2.01488
  1.29000  1.03118  1.13909    1.35688    1.57544    1.76616     1.83357     1.91366      2.02020
  1.30000  1.02972  1.14211    1.35863    1.57961    1.77084     1.83843     1.91873      2.02555
  1.31000  1.02831  1.14513    1.36033    1.58379    1.77553     1.84330     1.92381      2.03092
  1.32000  1.02696  1.14817    1.36197    1.58800    1.78024     1.84819     1.92892      2.03631
  1.33000  1.02567  1.15122    1.36356    1.59222    1.78497     1.85310     1.93404      2.04172
  1.34000  1.02442  1.15428    1.36510    1.59645    1.78972     1.85803     1.93918      2.04715
  1.35000  1.02323  1.15736    1.36660    1.60070    1.79448     1.86297     1.94434      2.05259
  1.36000  1.02209  1.16044    1.36804    1.60496    1.79926     1.86793     1.94952      2.05806
  1.37000  1.02099  1.16353    1.36944    1.60923    1.80405     1.87290     1.95471      2.06354
  1.38000  1.01994  1.16663    1.37080    1.61352    1.80885     1.87789     1.95991      2.06903
  1.39000  1.01893  1.16973    1.37212    1.61781    1.81367     1.88289     1.96513      2.07454
  1.40000  1.01796  1.17285    1.37339    1.62212    1.81850     1.88790     1.97037      2.08006
  1.41000  1.01704  1.17597    1.37463    1.62644    1.82334     1.89293     1.97561      2.08560
  1.42000  1.01615  1.17910    1.37583    1.63076    1.82818     1.89796     1.98086      2.09115
  1.43000  1.01530  1.18223    1.37699    1.63510    1.83304     1.90301     1.98613      2.09670
  1.44000  1.01448  1.18537    1.37812    1.63944    1.83791     1.90806     1.99140      2.10227
  1.45000  1.01371  1.18851    1.37922    1.64379    1.84278     1.91312     1.99668      2.10785
  1.46000  1.01296  1.19166    1.38028    1.64814    1.84767     1.91819     2.00197      2.11343
  1.47000  1.01225  1.19481    1.38131    1.65250    1.85256     1.92326     2.00727      2.11902
  1.48000  1.01156  1.19797    1.38231    1.65687    1.85745     1.92834     2.01257      2.12462
  1.49000  1.01091  1.20113    1.38328    1.66124    1.86235     1.93343     2.01788      2.13023
  1.50000  1.01029  1.20429    1.38423    1.66561    1.86725     1.93852     2.02319      2.13584
  1.51000  1.00969  1.20746    1.38514    1.66999    1.87216     1.94362     2.02851      2.14145
  1.52000  1.00912  1.21063    1.38603    1.67437    1.87707     1.94872     2.03383      2.14707
  1.53000  1.00858  1.21380    1.38690    1.67876    1.88199     1.95382     2.03916      2.15269
  1.54000  1.00806  1.21697    1.38774    1.68307    1.88690     1.95892     2.04449      2.15831
  1.55000  1.00756  1.22014    1.38855    1.68724    1.89182     1.96403     2.04982      2.16394
  1.56000  1.00709  1.22331    1.38934    1.69126    1.89674     1.96914     2.05515      2.16957
  1.57000  1.00664  1.22649    1.39011    1.69514    1.90166     1.97425     2.06048      2.17520
  1.58000  1.00621  1.22966    1.39086    1.69889    1.90658     1.97935     2.06581      2.18082
  1.59000  1.00580  1.23283    1.39159    1.70251    1.91151     1.98446     2.07114      2.18645
  1.60000  1.00541  1.23601    1.39230    1.70601    1.91643     1.98957     2.07647      2.19208
  1.61000  1.00503  1.23918    1.39298    1.70938    1.92135     1.99468     2.08180      2.19771
  1.62000  1.00468  1.24235    1.39365    1.71264    1.92626     1.99979     2.08713      2.20333
  1.63000  1.00434  1.24552    1.39430    1.71579    1.93118     2.00489     2.09246      2.20896
  1.64000  1.00403  1.24869    1.39493    1.71883    1.93609     2.00999     2.09778      2.21458
  1.65000  1.00372  1.25186    1.39555    1.72176    1.94101     2.01509     2.10311      2.22020
  1.66000  1.00343  1.25503    1.39614    1.72459    1.94591     2.02019     2.10843      2.22581
  1.67000  1.00316  1.25819    1.39672    1.72733    1.95082     2.02528     2.11374      2.23142
  1.68000  1.00290  1.26135    1.39729    1.72997    1.95572     2.03037     2.11905      2.23703
  1.69000  1.00265  1.26451    1.39784    1.73251    1.96062     2.03545     2.12436      2.24263
  1.70000  1.00242  1.26767    1.39837    1.73497    1.96551     2.04053     2.12966      2.24823
  1.71000  1.00220  1.27082    1.39889    1.73735    1.97040     2.04561     2.13496      2.25382
  1.72000  1.00199  1.27397    1.39939    1.73964    1.97529     2.05068     2.14025      2.25941
  1.73000  1.00179  1.27712    1.39988    1.74186    1.98016     2.05574     2.14554      2.26499
