 Htr/Hrms  H1/Hrms  H2/Hrms  H1/3/Hrms H1/10/Hrms H1/50/Hrms H1/100/Hrms H1/250/Hrms H1/1000/Hrms
  0.05000 12.19300  1.06000    1.27900    1.46600    1.54800     1.62000         NaN      1.81300
  0.10000  7.00300  1.06000    1.27900    1.46600    1.54800     1.62000         NaN      1.81300
  0.15000  5.06300  1.06000    1.27900    1.46600    1.54800     1.62000         NaN      1.81300
  0.20000  4.02200  1.06000    1.27900    1.46600    1.54800     1.62000         NaN      1.81300
  0.25000  3.36500  1.06000    1.27900    1.46600    1.54800     1.62000         NaN      1.81300
  0.30000  2.90800  1.06000    1.27900    1.46600    1.54800     1.62000         NaN      1.81300
  0.35000  2.57100  1.06000    1.27900    1.46600    1.54800     1.62000         NaN      1.81300
  0.40000  2.31100  1.06000    1.27900    1.46600    1.54800     1.62000         NaN      1.81300
  0.45000  2.10400  1.06000    1.27900    1.46600    1.54900     1.62000         NaN      1.81300
  0.50000  1.93600  1.06100    1.28000    1.46700    1.54900     1.62100         NaN      1.81400
  0.55000  1.79600  1.06100    1.28100    1.46800    1.55000     1.62200         NaN      1.81500
  0.60000  1.67800  1.06200    1.28200    1.46900    1.55200     1.62400         NaN      1.81700
  0.65000  1.57800  1.06400    1.28400    1.47100    1.55400     1.62600         NaN      1.82000
  0.70000  1.49200  1.06600    1.28600    1.47400    1.55700     1.62900         NaN      1.82300
  0.75000  1.41900  1.06900    1.29000    1.47800    1.56100     1.63400         NaN      1.82800
  0.80000  1.35600  1.07300    1.29400    1.48300    1.56700     1.63900         NaN      1.83500
  0.85000  1.30200  1.07700    1.30000    1.49000    1.57300     1.64600         NaN      1.84300
  0.90000  1.25600  1.08300    1.30700    1.49800    1.58200     1.65500         NaN      1.85200
  0.95000  1.21600  1.09000    1.31500    1.50700    1.59100     1.66500         NaN      1.86400
  1.00000  1.18200  1.09700    1.32400    1.51800    1.60300     1.67700         NaN      1.87700
  1.05000  1.15300  1.10600    1.33500    1.53000    1.61600     1.69000         NaN      1.89200
  1.10000  1.12800  1.11600    1.34600    1.54300    1.63000     1.70500         NaN      1.90900
  1.15000  1.10800  1.12600    1.35900    1.55800    1.64500     1.72100         NaN      1.92700
  1.20000  1.09000  1.13800    1.37100    1.57300    1.66200     1.73900         NaN      1.94600
  1.25000  1.07500  1.15000    1.38100    1.59000    1.67900     1.75700         NaN      1.96700
  1.30000  1.06300  1.16200    1.38900    1.60700    1.69800     1.77600         NaN      1.98800
  1.35000  1.05200  1.17500    1.39500    1.62600    1.71700     1.79600         NaN      2.01100
  1.40000  1.04300  1.18900    1.39900    1.64400    1.73700     1.81700         NaN      2.03400
  1.45000  1.03600  1.20300    1.40300    1.66400    1.75700     1.83800         NaN      2.05800
  1.50000  1.03000  1.21700    1.40600    1.68300    1.77800     1.86000         NaN      2.08200
  1.55000  1.02400  1.23100    1.40800    1.70300    1.79900     1.88200         NaN      2.10600
  1.60000  1.02000  1.24600    1.41000    1.72100    1.82000     1.90400         NaN      2.13100
  1.65000  1.01600  1.26100    1.41100    1.73600    1.84100     1.92700         NaN      2.15600
  1.70000  1.01300  1.27500    1.41200    1.74900    1.86300     1.94900         NaN      2.18200
  1.75000  1.01100  1.29000    1.41300    1.75900    1.88400     1.97200         NaN      2.20700
  1.80000  1.00900  1.30500    1.41300    1.76700    1.90600     1.99400         NaN      2.23200
  1.85000  1.00700  1.32000    1.41400    1.77300    1.92700     2.01700         NaN      2.25700
  1.90000  1.00600  1.33400    1.41400    1.77900    1.94900     2.03900         NaN      2.28200
  1.95000  1.00400  1.34900    1.41500    1.78300    1.97000     2.06200         NaN      2.30700
  2.00000  1.00400  1.36300    1.41500    1.78600    1.98500     2.08400         NaN      2.33200
  2.05000  1.00300  1.37800    1.41500    1.78900    1.98300     2.10600         NaN      2.35700
  2.10000  1.00200  1.39200    1.41500    1.79100    1.98200     2.12800         NaN      2.38200
  2.15000  1.00200  1.40700    1.41500    1.79300    1.98100     2.15000         NaN      2.40600
  2.20000  1.00100  1.42100    1.41500    1.79500    1.98100     2.14900         NaN      2.43000
  2.25000  1.00100  1.43500    1.41500    1.79600    1.98000     2.14800         NaN      2.45400
  2.30000  1.00100  1.44900    1.41500    1.79700    1.97900     2.14800         NaN      2.47800
  2.35000  1.00100  1.46200    1.41500    1.79700    1.97900     2.14700         NaN      2.50200
  2.40000  1.00000  1.47600    1.41600    1.79800    1.97900     2.14700         NaN      2.52500
  2.45000  1.00000  1.49000    1.41600    1.79800    1.97900     2.14700         NaN      2.54800
  2.50000  1.00000  1.50300    1.41600    1.79900    1.97800     2.14700         NaN      2.57100
  2.55000  1.00000  1.51600    1.41600    1.79900    1.97800     2.14600         NaN      2.59300
  2.60000  1.00000  1.52900    1.41600    1.79900    1.97800     2.14600         NaN      2.61600
  2.65000  1.00000  1.54200    1.41600    1.79900    1.97800     2.14600         NaN      2.62900
  2.70000  1.00000  1.55500    1.41600    1.79900    1.97800     2.14600         NaN      2.62900
  2.75000  1.00000  1.56800    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  2.80000  1.00000  1.58000    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  2.85000  1.00000  1.59300    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  2.90000  1.00000  1.60500    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  2.95000  1.00000  1.61700    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  3.00000  1.00000  1.63000    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  3.05000  1.00000  1.64200    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  3.10000  1.00000  1.65300    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  3.15000  1.00000  1.66500    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  3.20000  1.00000  1.67700    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  3.25000  1.00000  1.68900    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  3.30000  1.00000  1.70000    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  3.35000  1.00000  1.71100    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  3.40000  1.00000  1.72300    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  3.45000  1.00000  1.73400    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
  3.50000  1.00000  1.74500    1.41600    1.80000    1.97800     2.14600         NaN      2.62800
