Htr/Hrms H1/Hrms  H2/Hrms  H1/3/Hrms  H1/10/Hrms  H1/50/Hrms  H1/100/Hrms  H1/1000/Hrms
0.05 12.193 1.060 1.279 1.466 1.548 1.620 1.813
0.10 7.003 1.060 1.279 1.466 1.548 1.620 1.813
0.15 5.063 1.060 1.279 1.466 1.548 1.620 1.813
0.20 4.022 1.060 1.279 1.466 1.548 1.620 1.813
0.25 3.365 1.060 1.279 1.466 1.548 1.620 1.813
0.30 2.908 1.060 1.279 1.466 1.548 1.620 1.813
0.35 2.571 1.060 1.279 1.466 1.548 1.620 1.813
0.40 2.311 1.060 1.279 1.466 1.548 1.620 1.813
0.45 2.104 1.060 1.279 1.466 1.549 1.620 1.813
0.50 1.936 1.061 1.280 1.467 1.549 1.621 1.814
0.55 1.796 1.061 1.281 1.468 1.550 1.622 1.815
0.60 1.678 1.062 1.282 1.469 1.552 1.624 1.817
0.65 1.578 1.064 1.284 1.471 1.554 1.626 1.820
0.70 1.492 1.066 1.286 1.474 1.557 1.629 1.823
0.75 1.419 1.069 1.290 1.478 1.561 1.634 1.828
0.80 1.356 1.073 1.294 1.483 1.567 1.639 1.835
0.85 1.302 1.077 1.300 1.490 1.573 1.646 1.843
0.90 1.256 1.083 1.307 1.498 1.582 1.655 1.852
0.95 1.216 1.090 1.315 1.507 1.591 1.665 1.864
1.00 1.182 1.097 1.324 1.518 1.603 1.677 1.877
1.05 1.153 1.106 1.335 1.530 1.616 1.690 1.892
1.10 1.128 1.116 1.346 1.543 1.630 1.705 1.909
1.15 1.108 1.126 1.359 1.558 1.645 1.721 1.927
1.20 1.090 1.138 1.371 1.573 1.662 1.739 1.946
1.25 1.075 1.150 1.381 1.590 1.679 1.757 1.967
1.30 1.063 1.162 1.389 1.607 1.698 1.776 1.988
1.35 1.052 1.175 1.395 1.626 1.717 1.796 2.011
1.40 1.043 1.189 1.399 1.644 1.737 1.817 2.034
1.45 1.036 1.203 1.403 1.664 1.757 1.838 2.058
1.50 1.030 1.217 1.406 1.683 1.778 1.860 2.082
1.55 1.024 1.231 1.408 1.703 1.799 1.882 2.106
1.60 1.020 1.246 1.410 1.721 1.820 1.904 2.131
1.65 1.016 1.261 1.411 1.736 1.841 1.927 2.156
1.70 1.013 1.275 1.412 1.749 1.863 1.949 2.182
1.75 1.011 1.290 1.413 1.759 1.884 1.972 2.207
1.80 1.009 1.305 1.413 1.767 1.906 1.994 2.232
1.85 1.007 1.320 1.414 1.773 1.927 2.017 2.257
1.90 1.006 1.334 1.414 1.779 1.949 2.039 2.282
1.95 1.004 1.349 1.415 1.783 1.970 2.062 2.307
2.00 1.004 1.363 1.415 1.786 1.985 2.084 2.332
2.05 1.003 1.378 1.415 1.789 1.983 2.106 2.357
2.10 1.002 1.392 1.415 1.791 1.982 2.128 2.382
2.15 1.002 1.407 1.415 1.793 1.981 2.150 2.406
2.20 1.001 1.421 1.415 1.795 1.981 2.149 2.430
2.25 1.001 1.435 1.415 1.796 1.980 2.148 2.454
2.30 1.001 1.449 1.415 1.797 1.979 2.148 2.478
2.35 1.001 1.462 1.415 1.797 1.979 2.147 2.502
2.40 1.000 1.476 1.416 1.798 1.979 2.147 2.525
2.45 1.000 1.490 1.416 1.798 1.979 2.147 2.548
2.50 1.000 1.503 1.416 1.799 1.978 2.147 2.571
2.55 1.000 1.516 1.416 1.799 1.978 2.146 2.593
2.60 1.000 1.529 1.416 1.799 1.978 2.146 2.616
2.65 1.000 1.542 1.416 1.799 1.978 2.146 2.629
2.70 1.000 1.555 1.416 1.799 1.978 2.146 2.629
2.75 1.000 1.568 1.416 1.800 1.978 2.146 2.628
2.80 1.000 1.580 1.416 1.800 1.978 2.146 2.628
2.85 1.000 1.593 1.416 1.800 1.978 2.146 2.628
2.90 1.000 1.605 1.416 1.800 1.978 2.146 2.628
2.95 1.000 1.617 1.416 1.800 1.978 2.146 2.628
3.00 1.000 1.630 1.416 1.800 1.978 2.146 2.628
3.05 1.000 1.642 1.416 1.800 1.978 2.146 2.628
3.10 1.000 1.653 1.416 1.800 1.978 2.146 2.628
3.15 1.000 1.665 1.416 1.800 1.978 2.146 2.628
3.20 1.000 1.677 1.416 1.800 1.978 2.146 2.628
3.25 1.000 1.689 1.416 1.800 1.978 2.146 2.628
3.30 1.000 1.700 1.416 1.800 1.978 2.146 2.628
3.35 1.000 1.711 1.416 1.800 1.978 2.146 2.628
3.40 1.000 1.723 1.416 1.800 1.978 2.146 2.628
3.45 1.000 1.734 1.416 1.800 1.978 2.146 2.628
3.50 1.000 1.745 1.416 1.800 1.978 2.146 2.628
